groq: 1 models x 3 tiers x 3 contracts, 10 cases x 3 repeats -> up to 9 cells
WARNING groq rate limited, waiting 13.0s (attempt 1/4)
WARNING groq rate limited, waiting 2.0s (attempt 1/4)
WARNING groq rate limited, waiting 4.0s (attempt 1/4)
WARNING groq rate limited, waiting 2.0s (attempt 1/4)
WARNING groq rate limited, waiting 4.0s (attempt 1/4)
WARNING groq rate limited, waiting 3.0s (attempt 1/4)
WARNING groq rate limited, waiting 3.0s (attempt 1/4)
WARNING groq rate limited, waiting 2.0s (attempt 1/4)
WARNING groq rate limited, waiting 3.0s (attempt 1/4)
WARNING groq rate limited, waiting 5.0s (attempt 1/4)
WARNING groq rate limited, waiting 1.0s (attempt 1/4)
WARNING groq rate limited, waiting 3.0s (attempt 1/4)
WARNING groq rate limited, waiting 3.0s (attempt 1/4)
WARNING groq rate limited, waiting 3.0s (attempt 1/4)
WARNING groq rate limited, waiting 1.0s (attempt 1/4)
WARNING groq rate limited, waiting 2.0s (attempt 1/4)
WARNING groq rate limited, waiting 3.0s (attempt 1/4)
WARNING groq rate limited, waiting 1.0s (attempt 1/4)
WARNING groq rate limited, waiting 3.0s (attempt 1/4)
WARNING groq rate limited, waiting 2.0s (attempt 1/4)
WARNING groq rate limited, waiting 3.0s (attempt 1/4)
WARNING groq rate limited, waiting 3.0s (attempt 1/4)
WARNING groq rate limited, waiting 3.0s (attempt 1/4)
WARNING groq rate limited, waiting 1.0s (attempt 1/4)
WARNING groq rate limited, waiting 2.0s (attempt 1/4)
  1/9 openai/gpt-oss-20b / json_schema / TicketSummary: first 100%, final 100%,
accurate 73%
WARNING groq rate limited, waiting 3.0s (attempt 1/4)
WARNING groq rate limited, waiting 6.0s (attempt 1/4)
WARNING groq rate limited, waiting 3.0s (attempt 1/4)
WARNING groq rate limited, waiting 5.0s (attempt 1/4)
WARNING groq rate limited, waiting 3.0s (attempt 1/4)
WARNING groq rate limited, waiting 3.0s (attempt 1/4)
WARNING groq rate limited, waiting 5.0s (attempt 1/4)
WARNING groq rate limited, waiting 5.0s (attempt 1/4)
WARNING groq rate limited, waiting 5.0s (attempt 1/4)
WARNING groq rate limited, waiting 4.0s (attempt 1/4)
WARNING groq rate limited, waiting 2.0s (attempt 1/4)
WARNING groq rate limited, waiting 4.0s (attempt 1/4)
WARNING groq rate limited, waiting 5.0s (attempt 1/4)
WARNING groq rate limited, waiting 5.0s (attempt 1/4)
WARNING groq rate limited, waiting 4.0s (attempt 1/4)
WARNING groq rate limited, waiting 5.0s (attempt 1/4)
WARNING groq rate limited, waiting 1.0s (attempt 1/4)
WARNING groq rate limited, waiting 5.0s (attempt 1/4)
WARNING groq rate limited, waiting 4.0s (attempt 1/4)
WARNING groq rate limited, waiting 3.0s (attempt 1/4)
WARNING groq rate limited, waiting 4.0s (attempt 1/4)
WARNING groq rate limited, waiting 4.0s (attempt 1/4)
WARNING groq rate limited, waiting 4.0s (attempt 1/4)
WARNING groq rate limited, waiting 4.0s (attempt 1/4)
WARNING groq rate limited, waiting 6.0s (attempt 1/4)
WARNING groq rate limited, waiting 4.0s (attempt 1/4)
WARNING groq rate limited, waiting 6.0s (attempt 1/4)
WARNING groq rate limited, waiting 2.0s (attempt 1/4)
WARNING groq rate limited, waiting 5.0s (attempt 1/4)
WARNING groq rate limited, waiting 4.0s (attempt 1/4)
  2/9 openai/gpt-oss-20b / json_schema / TicketAnalysis: first 100%, final 
100%, accurate 70%
WARNING groq rate limited, waiting 6.0s (attempt 1/4)
WARNING groq rate limited, waiting 7.0s (attempt 1/4)
WARNING groq rate limited, waiting 8.0s (attempt 1/4)
WARNING groq rate limited, waiting 1.0s (attempt 2/4)
WARNING groq rate limited, waiting 9.0s (attempt 1/4)
WARNING groq rate limited, waiting 6.0s (attempt 1/4)
WARNING groq rate limited, waiting 2.0s (attempt 2/4)
WARNING groq rate limited, waiting 7.0s (attempt 1/4)
WARNING groq rate limited, waiting 7.0s (attempt 1/4)
WARNING groq rate limited, waiting 5.0s (attempt 1/4)
WARNING groq rate limited, waiting 2.0s (attempt 2/4)
WARNING groq rate limited, waiting 3.0s (attempt 1/4)
WARNING groq rate limited, waiting 2.0s (attempt 2/4)
WARNING groq rate limited, waiting 4.0s (attempt 1/4)
WARNING groq rate limited, waiting 3.0s (attempt 2/4)
WARNING groq rate limited, waiting 7.0s (attempt 1/4)
WARNING groq rate limited, waiting 2.0s (attempt 2/4)
WARNING groq rate limited, waiting 9.0s (attempt 1/4)
WARNING groq rate limited, waiting 9.0s (attempt 1/4)
WARNING groq rate limited, waiting 6.0s (attempt 1/4)
WARNING groq rate limited, waiting 7.0s (attempt 1/4)
WARNING groq rate limited, waiting 12.0s (attempt 1/4)
WARNING groq rate limited, waiting 8.0s (attempt 1/4)
WARNING groq rate limited, waiting 6.0s (attempt 1/4)
WARNING groq rate limited, waiting 1.0s (attempt 1/4)
WARNING groq rate limited, waiting 2.0s (attempt 2/4)
WARNING groq rate limited, waiting 6.0s (attempt 1/4)
WARNING groq rate limited, waiting 10.0s (attempt 1/4)
WARNING groq rate limited, waiting 8.0s (attempt 1/4)
WARNING groq rate limited, waiting 2.0s (attempt 2/4)
WARNING groq rate limited, waiting 5.0s (attempt 1/4)
WARNING groq rate limited, waiting 6.0s (attempt 1/4)
WARNING groq rate limited, waiting 2.0s (attempt 2/4)
WARNING groq rate limited, waiting 7.0s (attempt 1/4)
WARNING groq rate limited, waiting 9.0s (attempt 1/4)
WARNING groq rate limited, waiting 8.0s (attempt 1/4)
WARNING groq rate limited, waiting 2.0s (attempt 2/4)
WARNING groq rate limited, waiting 6.0s (attempt 1/4)
WARNING groq rate limited, waiting 9.0s (attempt 1/4)
WARNING groq rate limited, waiting 6.0s (attempt 1/4)
WARNING groq rate limited, waiting 1.0s (attempt 2/4)
  3/9 openai/gpt-oss-20b / json_schema / TicketTriage: first 100%, final 100%, 
accurate 63%
WARNING groq rate limited, waiting 5.0s (attempt 1/4)
WARNING groq rate limited, waiting 1.0s (attempt 2/4)
WARNING groq rate limited, waiting 6.0s (attempt 1/4)
WARNING groq rate limited, waiting 1.0s (attempt 1/4)
WARNING groq rate limited, waiting 5.0s (attempt 1/4)
WARNING groq rate limited, waiting 1.0s (attempt 1/4)
WARNING groq rate limited, waiting 2.0s (attempt 2/4)
WARNING groq rate limited, waiting 1.0s (attempt 1/4)
WARNING groq rate limited, waiting 2.0s (attempt 1/4)
WARNING groq rate limited, waiting 1.0s (attempt 2/4)
WARNING groq rate limited, waiting 2.0s (attempt 1/4)
WARNING groq rate limited, waiting 3.0s (attempt 1/4)
WARNING groq rate limited, waiting 3.0s (attempt 1/4)
WARNING groq rate limited, waiting 1.0s (attempt 1/4)
WARNING groq rate limited, waiting 1.0s (attempt 2/4)
WARNING groq rate limited, waiting 2.0s (attempt 1/4)
WARNING groq rate limited, waiting 3.0s (attempt 1/4)
WARNING groq rate limited, waiting 3.0s (attempt 1/4)
WARNING groq rate limited, waiting 4.0s (attempt 1/4)
WARNING groq rate limited, waiting 2.0s (attempt 2/4)
WARNING groq rate limited, waiting 4.0s (attempt 1/4)
WARNING groq rate limited, waiting 3.0s (attempt 1/4)
WARNING groq rate limited, waiting 6.0s (attempt 1/4)
WARNING groq rate limited, waiting 2.0s (attempt 1/4)
WARNING groq rate limited, waiting 2.0s (attempt 2/4)
WARNING groq rate limited, waiting 2.0s (attempt 1/4)
WARNING groq rate limited, waiting 2.0s (attempt 1/4)
WARNING groq rate limited, waiting 2.0s (attempt 1/4)
WARNING groq rate limited, waiting 5.0s (attempt 1/4)
WARNING groq rate limited, waiting 4.0s (attempt 1/4)
  4/9 openai/gpt-oss-20b / json_object / TicketSummary: first 100%, final 100%,
accurate 77%
WARNING groq rate limited, waiting 6.0s (attempt 1/4)
WARNING groq rate limited, waiting 8.0s (attempt 1/4)
WARNING groq rate limited, waiting 4.0s (attempt 1/4)
WARNING groq rate limited, waiting 5.0s (attempt 1/4)
WARNING groq rate limited, waiting 7.0s (attempt 1/4)
WARNING groq rate limited, waiting 3.0s (attempt 1/4)
WARNING groq rate limited, waiting 1.0s (attempt 2/4)
WARNING groq rate limited, waiting 4.0s (attempt 1/4)
WARNING groq rate limited, waiting 4.0s (attempt 1/4)
WARNING groq rate limited, waiting 7.0s (attempt 1/4)
WARNING groq rate limited, waiting 9.0s (attempt 1/4)
WARNING groq rate limited, waiting 5.0s (attempt 1/4)
WARNING groq rate limited, waiting 2.0s (attempt 2/4)
WARNING groq rate limited, waiting 5.0s (attempt 1/4)
WARNING groq rate limited, waiting 3.0s (attempt 1/4)
WARNING groq rate limited, waiting 7.0s (attempt 1/4)
WARNING groq rate limited, waiting 3.0s (attempt 1/4)
WARNING groq rate limited, waiting 2.0s (attempt 2/4)
WARNING groq rate limited, waiting 6.0s (attempt 1/4)
WARNING groq rate limited, waiting 2.0s (attempt 1/4)
WARNING groq rate limited, waiting 1.0s (attempt 2/4)
WARNING groq rate limited, waiting 4.0s (attempt 1/4)
WARNING groq rate limited, waiting 4.0s (attempt 1/4)
WARNING groq rate limited, waiting 1.0s (attempt 1/4)
WARNING groq rate limited, waiting 4.0s (attempt 2/4)
WARNING groq rate limited, waiting 6.0s (attempt 1/4)
WARNING groq rate limited, waiting 4.0s (attempt 1/4)
WARNING groq rate limited, waiting 6.0s (attempt 1/4)
WARNING groq rate limited, waiting 5.0s (attempt 1/4)
WARNING groq rate limited, waiting 10.0s (attempt 1/4)
WARNING groq rate limited, waiting 4.0s (attempt 1/4)
WARNING groq rate limited, waiting 5.0s (attempt 1/4)
WARNING groq rate limited, waiting 4.0s (attempt 1/4)
WARNING groq rate limited, waiting 1.0s (attempt 2/4)
WARNING groq rate limited, waiting 4.0s (attempt 1/4)
WARNING groq rate limited, waiting 8.0s (attempt 1/4)
  5/9 openai/gpt-oss-20b / json_object / TicketAnalysis: first 97%, final 100%,
accurate 63%
WARNING groq rate limited, waiting 2.0s (attempt 1/4)
WARNING groq rate limited, waiting 4.0s (attempt 2/4)
WARNING groq rate limited, waiting 8.0s (attempt 1/4)
WARNING groq rate limited, waiting 4.0s (attempt 2/4)
WARNING groq rate limited, waiting 10.0s (attempt 1/4)
WARNING groq rate limited, waiting 8.0s (attempt 1/4)
WARNING groq rate limited, waiting 9.0s (attempt 1/4)
WARNING groq rate limited, waiting 8.0s (attempt 1/4)
WARNING groq rate limited, waiting 8.0s (attempt 1/4)
WARNING groq rate limited, waiting 7.0s (attempt 1/4)
WARNING groq rate limited, waiting 60.0s (attempt 1/4)
WARNING groq rate limited, waiting 60.0s (attempt 2/4)
WARNING groq rate limited, waiting 60.0s (attempt 3/4)
WARNING groq rate limited, waiting 60.0s (attempt 1/4)
WARNING groq rate limited, waiting 60.0s (attempt 2/4)
WARNING groq rate limited, waiting 23.0s (attempt 3/4)
WARNING no output for angry_refund: RuntimeError: groq failed after 4 attempts: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-20b` in organization `org_01kyfq7wnbfagseh2dp6f40gvx` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 198313, Requested 2805. Please try again in 8m2.976s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
WARNING groq rate limited, waiting 60.0s (attempt 1/4)
WARNING groq rate limited, waiting 60.0s (attempt 1/4)
WARNING groq rate limited, waiting 60.0s (attempt 2/4)
WARNING groq rate limited, waiting 60.0s (attempt 3/4)
WARNING no output for export_broken: RuntimeError: groq failed after 4 attempts: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-20b` in organization `org_01kyfq7wnbfagseh2dp6f40gvx` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199095, Requested 2799. Please try again in 13m38.208s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
WARNING groq rate limited, waiting 60.0s (attempt 1/4)
WARNING groq rate limited, waiting 60.0s (attempt 2/4)
WARNING groq rate limited, waiting 60.0s (attempt 3/4)
WARNING no output for cancel_account: RuntimeError: groq failed after 4 attempts: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-20b` in organization `org_01kyfq7wnbfagseh2dp6f40gvx` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 198673, Requested 2789. Please try again in 10m31.584s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
WARNING groq rate limited, waiting 60.0s (attempt 1/4)
WARNING groq rate limited, waiting 60.0s (attempt 2/4)
WARNING groq rate limited, waiting 60.0s (attempt 3/4)
